"month","order_count"
"2018-08-01 00:00:00",6351
"2018-07-01 00:00:00",6159
"2018-06-01 00:00:00",6099
"2018-05-01 00:00:00",6749
"2018-04-01 00:00:00",6798
"2018-03-01 00:00:00",7003
"2018-02-01 00:00:00",6555
"2018-01-01 00:00:00",7069
"2017-12-01 00:00:00",5513
"2017-11-01 00:00:00",7289
"2017-10-01 00:00:00",4478
"2017-09-01 00:00:00",4150
"2017-08-01 00:00:00",4193
"2017-07-01 00:00:00",3872
"2017-06-01 00:00:00",3135
"2017-05-01 00:00:00",3546
"2017-04-01 00:00:00",2303
"2017-03-01 00:00:00",2546
"2017-02-01 00:00:00",1653
"2017-01-01 00:00:00",750
"2016-12-01 00:00:00",1
"2016-10-01 00:00:00",265
"2016-09-01 00:00:00",1
